,pipeline,accuracy
31,"Pipeline(steps=[('feature-pre-processor', GenericUnivariateSelect()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.3779
63,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5156726324272)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7168455126856))])",0.3721
24,"Pipeline(steps=[('feature-pre-processor', FeatureAgglomeration()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.3662
38,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5126400029891)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5167898985818))])",0.3588
121,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5064245109895)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2099121683434))])",0.3529
73,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5028108788851)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7860863512793))])",0.3456
43,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5006585287137, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8016024516575))])",0.3265
15,"Pipeline(steps=[('learner', MultinomialNB())])",
25,"Pipeline(steps=[('feature-pre-processor', KernelPCA()),
                ('learner', QuadraticDiscriminantAnalysis())])",
26,"Pipeline(steps=[('feature-pre-processor', RBFSampler()),
                ('learner', QuadraticDiscriminantAnalysis())])",
27,"Pipeline(steps=[('feature-pre-processor', Nystroem()),
                ('learner', QuadraticDiscriminantAnalysis())])",
